@format=row B6D2F1 BXD101 BXD102 BXD24 BXD29 BXD32 BXD39 BXD44 BXD45 BXD48a BXD53 BXD61 BXD63 BXD65b BXD66 BXD69 BXD73 BXD87 BXD90 BXD98 DBA/2J
1810027O10Rik 13.588452145 14.17462864 14.045088825 13.6792751 13.888649005 13.471159295 13.78704587 14.31507525 13.81195677 14.1207692066667 13.40493871 13.93499846 13.805111185 13.825399035 14.03160227 13.56834717 13.8449717 14.098416315 13.89178516 13.98408757 14.23042518
1810063B05Rik 13.195303415 13.2968249183333 13.5422284325 13.621727245 13.6287473425 13.600562735 13.478251645 12.718185605 13.72761809 13.5581434833333 13.9410008325 13.3931407083333 13.7570315391667 13.369912975 13.36386026 13.967977005 13.92319671 13.726929245 13.73578251 13.851892865 13.4945535325
1810074P20Rik 13.4367803183333 13.3408969822222 13.494739965 13.5099730033333 13.3013777983333 13.12231618 13.22618476 12.9574847933333 13.3405579666667 13.2192722177778 13.2328573466667 13.11107817 13.2276878838889 12.9423925883333 12.9341309066667 13.19183116 13.3234183066667 13.1559876633333 13.2582622766667 13.3470705266667 13.20165969
2-Sep 14.1659810416667 14.13855215 13.5845131383333 14.3071114866667 13.9199088883333 13.7759714183333 13.7885368433333 13.6080153066667 13.80008657 13.7503951633333 14.2226634833333 13.4238395455556 13.5720794555556 13.5847891816667 13.4061157166667 13.73392209 13.9550522 13.974003065 13.7973049633333 13.6364661533333 13.6352687683333
2010011I20Rik 11.728769965 12.25054229 11.394182465 11.92135181 11.866771115 11.49498795 11.68037982 12.06062138 11.7301223 11.37363346 11.35816349 11.0478119366667 11.6865862716667 11.26887725 10.94185532 12.27427818 12.52556152 11.551127625 11.98849607 11.21774494 11.441736295
2010107E04Rik 12.82774495525 12.6925451236667 13.4413326225 13.9274455 14.0170793475 13.9181307625 13.885781645 14.127547145 14.221999265 14.068996795 13.027187315 13.8032947 13.2477672110833 13.8968913125 14.07634679 14.19360782 14.16058633 14.1570690975 14.104824175 14.38151472 13.9112747075
2010305A19Rik 13.6939529833333 13.6303367677778 13.49132132 13.9098883166667 13.654450195 13.6717368616667 13.54856465 13.7434413933333 13.7366850033333 13.7805391088889 13.644239865 13.5256227688889 13.6541936483333 13.423422455 13.4593824066667 13.68288064 13.8333451133333 13.9451492616667 13.7060064233333 13.8076853733333 13.884594895
2310001A20Rik 15.152705585 15.0282373311111 14.9419166816667 15.2224773533333 15.08603511 14.9801481266667 15.0301131533333 14.7170350333333 14.6490876366667 14.7776017088889 15.186944865 14.9156899433333 14.8917698561111 15.1091185583333 15.26490039 14.8139629233333 14.9499463866667 14.918189585 14.63438979 14.78845369 14.844748185
2310039H08Rik 13.3733688 13.11312229 12.946079495 13.29323006 13.51473204 13.16768652 13.07986434 13.19351801 13.05063313 13.1524903866667 13.12424923 12.9606014066667 13.091855295 12.919674675 12.85488574 12.94879728 13.6613959 13.244718735 13.24956546 13.1714347 13.08305798
2310044H10Rik 12.931937805 12.5295236166667 12.36188097 12.8687221 12.734842175 12.53476538 12.62413729 12.74608342 12.68131376 12.4753417566667 12.646979095 12.0268025333333 12.2585777683333 12.226752 11.88583031 12.50519516 12.42204594 12.482543815 12.69982117 12.46429457 12.35344062
